line,section_or_table,literal,value,category,source_file,source_key_or_derivation,source_value,mapping_scope,status,context
212,Market-state encoder,21,21.0,dataset/config/provenance,train_model_v3/call/results_spot_history_v5/config.json,grid_h  [trailing trading days in the SPX/VIX history windows],21.0,global,EXACT,information rather than on strictly prior information. The \textbf{SPX price history} input is 21
213,Market-state encoder,21,21.0,dataset/config/provenance,train_model_v3/call/results_spot_history_v5/config.json,grid_h  [trailing trading days in the SPX/VIX history windows],21.0,global,EXACT,"trading days of SPX OHLCV data, a $21 \times 5$ grid, each row divided by the window's final close (and"
213,Market-state encoder,5,5.0,dataset/config/provenance,train_model_v3/call/results_vol_surface_v5/config.json,patience_adam  [early-stopping patience in each phase; the same literal is also the SPX-history grid width (21x5) and Figure F3's 5x9 grid],5.0,global,EXACT,"trading days of SPX OHLCV data, a $21 \times 5$ grid, each row divided by the window's final close (and"
216,Market-state encoder,21,21.0,dataset/config/provenance,train_model_v3/call/results_spot_history_v5/config.json,grid_h  [trailing trading days in the SPX/VIX history windows],21.0,global,EXACT,denominator for the whole tensor. The \textbf{VIX history} input is 21 trading days of CBOE VIX OHLC
217,Market-state encoder,21,21.0,dataset/config/provenance,train_model_v3/call/results_spot_history_v5/config.json,grid_h  [trailing trading days in the SPX/VIX history windows],21.0,global,EXACT,"data, a $21 \times 4$ grid, likewise ending on the target trade date and normalized the same way: each"
217,Market-state encoder,4,4.0,dataset/config/provenance,train_model_v3/call/results_vol_surface_v5/config.json,modes1  [retained spectral modes (modes1) on the surface grid; the same literal is also the number of FNO blocks and the VIX-history grid width],4.0,global,EXACT,"data, a $21 \times 4$ grid, likewise ending on the target trade date and normalized the same way: each"
227,Market-state encoder,11,11.0,dataset/config/provenance,train_model_v3/call/results_vol_surface_v5/config.json,grid_h  [surface grid maturities],11.0,global,EXACT,$11 \times 17$ implied volatility surface---not its presence or absence.
227,Market-state encoder,17,17.0,dataset/config/provenance,train_model_v3/call/results_vol_surface_v5/config.json,grid_w  [surface grid delta points],17.0,global,EXACT,$11 \times 17$ implied volatility surface---not its presence or absence.
229,Market-state encoder,128,128.0,dataset/config/provenance,train_model_v3/call/results_vol_surface_v5/config.json,latent_dim  [latent/basis dimension; head and trunk hidden width is the same 128 (config head_hidden)],128.0,global,EXACT,"The flattened FNO output is projected to the latent vector by two dense layers, a flatten-to-128 layer"
230,Market-state encoder,128,128.0,dataset/config/provenance,train_model_v3/call/results_vol_surface_v5/config.json,latent_dim  [latent/basis dimension; head and trunk hidden width is the same 128 (config head_hidden)],128.0,global,EXACT,"whose input width is proportional to the grid size followed by a fixed 128-to-latent layer, so the"
232,Market-state encoder,"766{,}080",766080.0,derived statistic,train_model_v3/call/results_vol_surface_v5/config.json,"J('train_model_v3/call/results_vol_surface_v5/config.json','fno_width') * 11 * 17 * J('train_model_v3/call/results_vol_surface_v5/config.json','latent_dim') + J('train_model_v3/call/results_vol_surface_v5/config.json','latent_dim')  [flattening-projection parameter count for the surface, 11x17 grid branch: fno_width * grid_h * grid_w * latent_dim + latent_dim  [by-line review: IV-surface first-layer flattening-projection parameter count]]",766080.0,line,DERIVED,"published counts refer to: including its bias it holds 766{,}080 parameters for the surface grid,"
233,Market-state encoder,"344{,}192",344192.0,derived statistic,train_model_v3/call/results_vol_surface_v5/config.json,"J('train_model_v3/call/results_vol_surface_v5/config.json','fno_width') * 21 * 4 * J('train_model_v3/call/results_vol_surface_v5/config.json','latent_dim') + J('train_model_v3/call/results_vol_surface_v5/config.json','latent_dim')  [flattening-projection parameter count for the VIX history, 21x4 grid branch: fno_width * grid_h * grid_w * latent_dim + latent_dim  [by-line review: VIX-history first-layer flattening-projection parameter count]]",344192.0,line,DERIVED,"430{,}208 for SPX history, and 344{,}192 for VIX history, while the second layer is identical across"
233,Market-state encoder,"430{,}208",430208.0,derived statistic,train_model_v3/call/results_vol_surface_v5/config.json,"J('train_model_v3/call/results_vol_surface_v5/config.json','fno_width') * 21 * 5 * J('train_model_v3/call/results_vol_surface_v5/config.json','latent_dim') + J('train_model_v3/call/results_vol_surface_v5/config.json','latent_dim')  [flattening-projection parameter count for the SPX history, 21x5 grid branch: fno_width * grid_h * grid_w * latent_dim + latent_dim  [by-line review: SPX-history first-layer flattening-projection parameter count]]",430208.0,line,DERIVED,"430{,}208 for SPX history, and 344{,}192 for VIX history, while the second layer is identical across"
241,Per-query volatility head,128,128.0,dataset/config/provenance,train_model_v3/call/results_vol_surface_v5/config.json,latent_dim  [latent/basis dimension; head and trunk hidden width is the same 128 (config head_hidden)],128.0,global,EXACT,"market state. We compare two interchangeable head designs, both with hidden width 128 acting on the"
242,Per-query volatility head,128,128.0,dataset/config/provenance,train_model_v3/call/results_vol_surface_v5/config.json,latent_dim  [latent/basis dimension; head and trunk hidden width is the same 128 (config head_hidden)],128.0,global,EXACT,same 128-dimensional latent vector. Architecture A (MLP head) is an MLP on the concatenation of the
276,Differentiable Black--Scholes decoder,0,0.0,theoretical constant,,"the T -> 0 limit of the decoder and the max(., 0) floor of the static no-arbitrage bounds; definitional, not measured  [the T -> 0 limit of the decoder and the max(., 0) floor of the static no-arbitrage bounds; definitional, not measured]",0.0,global,EXACT,A third property is a limit rather than a guarantee. As $T \to 0$ the Black--Scholes price converges to
280,Differentiable Black--Scholes decoder,24,24.0,derived statistic,train_model_v3/call/results_vol_surface_v5/config.json,"24.0 * float(J('train_model_v3/call/results_vol_surface_v5/config.json','data_provenance.export_min_maturity_days'))  [the maturity cut, stated in hours: export_min_maturity_days = 1.0 day  [by-line review: the export's minimum maturity, 24 hours]]",24.0,line,DERIVED,"strictly more than 24 hours remaining to settlement, excludes this case from the sample. The"
281,Differentiable Black--Scholes decoder,0,0.0,theoretical constant,,"the T -> 0 limit of the decoder and the max(., 0) floor of the static no-arbitrage bounds; definitional, not measured  [the T -> 0 limit of the decoder and the max(., 0) floor of the static no-arbitrage bounds; definitional, not measured]",0.0,global,EXACT,implementation is not exactly $\hat\sigma$-independent at $T{=}0$: it evaluates
282,Differentiable Black--Scholes decoder,10^{-10},1e-10,dataset/config/provenance,train_model_v3/call/train_vol_surface.py,"1e-10  [the maturity clamp inside sqrt(clamp(T_years, min=1e-10)), verbatim in every train script's bs_normalized_price and in analysis/_common]",1e-10,global,DERIVED,"$\sqrt{\mathrm{clamp}(T, 10^{-10})}$, clamping the maturity before taking the square root rather than"
284,Differentiable Black--Scholes decoder,0,0.0,theoretical constant,,"the T -> 0 limit of the decoder and the max(., 0) floor of the static no-arbitrage bounds; definitional, not measured  [the T -> 0 limit of the decoder and the max(., 0) floor of the static no-arbitrage bounds; definitional, not measured]",0.0,global,EXACT,$10^{-5}$ in a vanishing band around the money: a synthetic exact-$T{=}0$ probe of the decoder finds a
284,Differentiable Black--Scholes decoder,10^{-5},1e-05,experiment output,results/diagnostics_tail_v5.json,"call.degeneracy.T=0.max_price_spread_over_sigma  ['a residual sigma dependence of order 1e-5': the exact-T=0 probe records 1.1928e-5, so the stated order is the measured one; the sentence quotes the value itself immediately after. Elsewhere 10^{-5} is the fine-tuning learning rate, hence the per-line override]",1.1928374182235135e-05,line,ROUNDED-OK,$10^{-5}$ in a vanishing band around the money: a synthetic exact-$T{=}0$ probe of the decoder finds a
285,Differentiable Black--Scholes decoder,1.2\times10^{-5},1.2e-05,experiment output,results/diagnostics_tail_v5.json,"call.degeneracy.T=0.max_price_spread_over_sigma  [synthetic exact-T=0 probe of the decoder: maximum price spread over sigma_hat in V/K units, 1.1928e-5 (the put probe gives the same value to 1e-11)]",1.1928374182235135e-05,global,ROUNDED-OK,maximum price spread over $\hat\sigma$ of $1.2\times10^{-5}$ in $V/K$ units
292,fig:f1,2,2.0,dataset/config/provenance,train_model_v3/call/results_spot_history_v5/config.json,modes2  [retained modes2 for the history encoders; the same literal is also the '2-D' of the 2-D FNO and the '1-D form' reshaping remark],2.0,global,EXACT,"SPX price history, or VIX history) is encoded by a 2-D FNO into a shared latent vector. A per-query"
305,Loss,10^{-8},1e-08,dataset/config/provenance,train_model_v3/call/train_vol_surface.py,"1e-8  [the training/evaluation price clamp log(clamp(V/K, 1e-8)); it appears verbatim in every train script's `torch.clamp(price, min=1e-8)` and in analysis/_common.CLAMP_LOG]",1e-08,global,DERIVED,"10^{-8}))$ for numerical stability. There is no auxiliary PDE, arbitrage, or BS-anchor penalty term. We"
316,Data,2015-02-02,2015-02-02,dataset/config/provenance,wrds_data_2020-2025/DATASET_MANIFEST.json,datasets.v5.files.call.splits.train.first  [train-split first trade date],2015-02-02,global,EXACT,"We use SPX index options from OptionMetrics, accessed via WRDS, covering 2015-02-02 through"
317,Data,2025-08-29,2025-08-29,dataset/config/provenance,wrds_data_2020-2025/DATASET_MANIFEST.json,datasets.v5.files.call.splits.test.last  [test-split last trade date],2025-08-29,global,EXACT,"2025-08-29. European exercise removes the early-exercise complication, and BS is used as the analytical"
323,The implied-volatility-surface input and its same-day dependence,11,11.0,dataset/config/provenance,train_model_v3/call/results_vol_surface_v5/config.json,grid_h  [surface grid maturities],11.0,global,EXACT,surface~\citep{OptionMetrics2026Surface}: an $11 \times 17$ grid of interpolated implied volatilities over
323,The implied-volatility-surface input and its same-day dependence,17,17.0,dataset/config/provenance,train_model_v3/call/results_vol_surface_v5/config.json,grid_w  [surface grid delta points],17.0,global,EXACT,surface~\citep{OptionMetrics2026Surface}: an $11 \times 17$ grid of interpolated implied volatilities over
324,The implied-volatility-surface input and its same-day dependence,10,10.0,dataset/config/provenance,results/spline_boundary_decomposition_v5.json,"results.option_type=call.grid.abs_delta_bounds.0  [the surface grid's lower |delta| and lower tenor (10-day) boundary, which is what most occurrences mean. The same literal is also the 80/10/10 split shares, the +-10%% band in Figure F5, the squared-log-error tail threshold, and min_finetune_epochs=10 in every run's config.json]",10.0,global,EXACT,eleven fixed maturities (10--730 calendar days) and seventeen fixed BS spot-delta points ($+10$ to
324,The implied-volatility-surface input and its same-day dependence,10,10.0,dataset/config/provenance,results/spline_boundary_decomposition_v5.json,"results.option_type=call.grid.abs_delta_bounds.0  [the surface grid's lower |delta| and lower tenor (10-day) boundary, which is what most occurrences mean. The same literal is also the 80/10/10 split shares, the +-10%% band in Figure F5, the squared-log-error tail threshold, and min_finetune_epochs=10 in every run's config.json]",10.0,global,EXACT,eleven fixed maturities (10--730 calendar days) and seventeen fixed BS spot-delta points ($+10$ to
324,The implied-volatility-surface input and its same-day dependence,730,730.0,dataset/config/provenance,results/spline_boundary_decomposition_v5.json,results.option_type=call.grid.day_bounds.1  [upper tenor bound (calendar days) of the standardized surface grid],730.0,global,EXACT,eleven fixed maturities (10--730 calendar days) and seventeen fixed BS spot-delta points ($+10$ to
325,The implied-volatility-surface input and its same-day dependence,-10,-10.0,theoretical constant,,the -10 end of the put side of the surface's signed delta axis (-90 to -10)  [the -10 end of the put side of the surface's signed delta axis (-90 to -10)],-10.0,global,EXACT,"$+90$ for calls, $-90$ to $-10$ for puts). Preprocessing joins this surface to the option targets on"
325,The implied-volatility-surface input and its same-day dependence,-90,-90.0,theoretical constant,,the -90 end of the put side of the surface's signed delta axis  [the -90 end of the put side of the surface's signed delta axis],-90.0,global,EXACT,"$+90$ for calls, $-90$ to $-10$ for puts). Preprocessing joins this surface to the option targets on"
325,The implied-volatility-surface input and its same-day dependence,90,90.0,dataset/config/provenance,results/spline_boundary_decomposition_v5.json,"results.option_type=call.grid.abs_delta_bounds.1  [upper |delta| bound of the OptionMetrics standardized surface grid, as read off the grid itself; the same literal is also a Figure F2 maturity-bucket edge (90 days)]",90.0,global,EXACT,"$+90$ for calls, $-90$ to $-10$ for puts). Preprocessing joins this surface to the option targets on"
334,The implied-volatility-surface input and its same-day dependence,21,21.0,dataset/config/provenance,train_model_v3/call/results_spot_history_v5/config.json,grid_h  [trailing trading days in the SPX/VIX history windows],21.0,global,EXACT,The SPX-history and VIX-history inputs are built from a 21-trading-day OHLC(V) window that \emph{ends
346,Maturity and contract-identity handling,6.5,6.5,derived statistic,train_model_v3/call/results_vol_surface_v5/config.json,"float(J('train_model_v3/call/results_vol_surface_v5/config.json','data_provenance.phase1.phase1_quote_time_et').split(':')[0]) - float(J('train_model_v3/call/results_vol_surface_v5/config.json','data_provenance.phase1.phase1_am_settle_time_et').split(':')[0]) - float(J('train_model_v3/call/results_vol_surface_v5/config.json','data_provenance.phase1.phase1_am_settle_time_et').split(':')[1])/60.0  [hours an AM-settled contract loses: 16:00 ET quote time minus 09:30 ET SOQ]",6.5,global,DERIVED,Each contract's maturity is computed on a settlement-aware basis: AM-settled contracts lose the 6.5
347,Maturity and contract-identity handling,30,30.0,dataset/config/provenance,train_model_v3/call/results_vol_surface_v5/config.json,"float(J('train_model_v3/call/results_vol_surface_v5/config.json','data_provenance.phase1.phase1_am_settle_time_et').split(':')[1])  [the 30 of 09:30 ET; the same literal is also a Figure F2 maturity-bucket edge (7--30d, 30--90d)]",30.0,global,DERIVED,"hours between the prior end-of-day quote and the 9:30 ET opening settlement print, and we retain only"
347,Maturity and contract-identity handling,9,9.0,dataset/config/provenance,train_model_v3/call/results_vol_surface_v5/config.json,"float(J('train_model_v3/call/results_vol_surface_v5/config.json','data_provenance.phase1.phase1_am_settle_time_et').split(':')[0])  [the 9 of the 09:30 ET AM settlement print; the same literal is also Figure F3's 5x9 log-moneyness grid]",9.0,global,DERIVED,"hours between the prior end-of-day quote and the 9:30 ET opening settlement print, and we retain only"
348,Maturity and contract-identity handling,24,24.0,derived statistic,train_model_v3/call/results_vol_surface_v5/config.json,"24.0 * float(J('train_model_v3/call/results_vol_surface_v5/config.json','data_provenance.export_min_maturity_days'))  [the maturity cut, stated in hours: export_min_maturity_days = 1.0 day  [by-line review: the export's minimum maturity, 24 hours]]",24.0,line,DERIVED,contracts with strictly more than 24 hours remaining to settlement. Contract identity (including
356,Quote-quality filter,0,0.0,theoretical constant,,"the T -> 0 limit of the decoder and the max(., 0) floor of the static no-arbitrage bounds; definitional, not measured  [the T -> 0 limit of the decoder and the max(., 0) floor of the static no-arbitrage bounds; definitional, not measured]",0.0,global,EXACT,"$\mathrm{disc} = e^{-rT}$, a call midpoint must lie in $[\max(\mathrm{fwd}-\mathrm{disc}, 0),"
357,Quote-quality filter,0,0.0,theoretical constant,,"the T -> 0 limit of the decoder and the max(., 0) floor of the static no-arbitrage bounds; definitional, not measured  [the T -> 0 limit of the decoder and the max(., 0) floor of the static no-arbitrage bounds; definitional, not measured]",0.0,global,EXACT,"\mathrm{fwd}]$ and a put midpoint in $[\max(\mathrm{disc}-\mathrm{fwd}, 0), \mathrm{disc}]$, computed in"
360,Quote-quality filter,2.21,2.21,derived statistic,wrds_data_2020-2025/DATASET_MANIFEST.json,"100.0 * (J('wrds_data_2020-2025/DATASET_MANIFEST.json','datasets.v4.files.call.rows') - J('wrds_data_2020-2025/DATASET_MANIFEST.json','datasets.v5.files.call.rows')) / J('wrds_data_2020-2025/DATASET_MANIFEST.json','datasets.v4.files.call.rows')  [call overall removal rate, rounded to two decimals in the text]",2.2060734620606377,global,DERIVED,Table~\ref{tab:retention} reports the resulting row counts: this filter removes 2.21\% of call rows and
361,Quote-quality filter,0.82,0.82,derived statistic,wrds_data_2020-2025/DATASET_MANIFEST.json,"100.0 * (J('wrds_data_2020-2025/DATASET_MANIFEST.json','datasets.v4.files.put.rows') - J('wrds_data_2020-2025/DATASET_MANIFEST.json','datasets.v5.files.put.rows')) / J('wrds_data_2020-2025/DATASET_MANIFEST.json','datasets.v4.files.put.rows')  [put overall removal rate, rounded to two decimals in the text]",0.8222319608902655,global,DERIVED,"0.82\% of put rows overall, with a small train-versus-test differential (well under one percentage"
